"customer_id";"name";"email";"phone";"location";"signup_date";"is_premium";"preferred_cuisine";"total_orders";"average_rating"
200000;"Kamala Sandhu";"krishna50@example.net";"5943571327";"Adoni";"2021-07-28";"0";"biryani";78;3.11
200001;"Nimrat Brar";"gopalgirik@example.net";"+914235787740";"Shivpuri";"2021-02-09";"1";"mexican";20;0.84
200002;"Chasmum Ahuja";"psundaram@example.net";"3942931089";"Hospet";"2021-10-10";"1";"north indian";49;2.36
200003;"Vasatika Goda";"eravi@example.net";"0409615277";"Sri Ganganagar";"2021-12-22";"1";"south indian";44;4.29
200004;"Forum Acharya";"sharafpatrick@example.com";"+913970592972";"Morena";"2021-12-26";"0";"continental";84;0.96
200005;"Yagnesh Chakrabarti";"ombarad@example.net";"09713580250";"Ujjain";"2021-10-11";"0";"north indian";20;4.35
200006;"Pranav Prabhakar";"warrioryashica@example.com";"+917654757229";"Deoghar";"2021-11-07";"1";"north indian";81;2.56
200007;"Sachi Shan";"mishrachavvi@example.net";"1307329062";"Sultan Pur Majra";"2021-04-05";"1";"fast food";43;0.61
200008;"Rishi Sengupta";"hamsini91@example.com";"8771774672";"Deoghar";"2021-01-22";"0";"south indian";98;2.36
200009;"Lakshit Banik";"raksha21@example.com";"03083816210";"Kota";"2021-06-02";"1";"italian";69;4.02
200010;"Warinder Chowdhury";"baghyawati31@example.com";"08391913699";"Bhilwara";"2021-01-07";"1";"mexican";87;2.09
200011;"Arunima Kumer";"ati28@example.net";"01015836843";"Ahmednagar";"2021-12-08";"0";"south indian";80;2.41
200012;"Gaurika Kothari";"kapadiabalvan@example.net";"+918508446952";"Patna";"2021-12-14";"0";"fast food";4;4.61
200013;"Vanya Oommen";"usaran@example.com";"+911485790114";"Miryalaguda";"2021-01-03";"1";"mexican";8;1.96
200014;"Nakul Nagar";"udarshsundaram@example.org";"1067279959";"Katni";"2021-10-21";"1";"chinese";69;3.71
200015;"Frado Nayak";"vmann@example.org";"+911879027743";"Kochi";"2021-08-30";"0";"north indian";2;2.25
200016;"Mekhala Dani";"ayushsani@example.org";"9663678265";"Patiala";"2021-04-19";"1";"south indian";58;3.37
200017;"Veer Vohra";"urishillanarain@example.net";"+911160705619";"Chapra";"2021-04-05";"1";"north indian";14;1.86
200018;"Chaman Dey";"frederick52@example.com";"+912424803130";"Jehanabad";"2021-11-01";"1";"biryani";49;4.14
